test AUC (pungent),Number of parameters,edge dim,node dim,globals dim,learn edges,learn globals,learn nodes,aggregation type,n layers,n learn,Message passing
0.6453372240066528,5781,20,50,50,True,False,False,sum,1,1,edges
0.6097273826599121,4021,5,50,100,True,False,False,max,1,1,edges
0.6097273826599121,4021,5,50,100,True,False,False,mean,1,1,edges
0.6097273826599121,4021,5,50,100,True,False,False,sum,1,1,edges
0.640258252620697,4641,10,50,100,True,False,False,max,1,1,edges
0.640258252620697,4641,10,50,100,True,False,False,mean,1,1,edges
0.640258252620697,4641,10,50,100,True,False,False,sum,1,1,edges
0.6636729240417479,6031,20,50,100,True,False,False,max,1,1,edges
0.6636729240417479,6031,20,50,100,True,False,False,mean,1,1,edges
0.6636729240417479,6031,20,50,100,True,False,False,sum,1,1,edges
0.667747437953949,4466,5,50,25,False,True,False,max,1,1,globals
0.667747437953949,4466,5,50,25,False,True,False,mean,1,1,globals
0.667747437953949,4466,5,50,25,False,True,False,sum,1,1,globals
0.6767288446426392,4706,10,50,25,False,True,False,max,1,1,globals
0.6767288446426392,4706,10,50,25,False,True,False,mean,1,1,globals
0.6767288446426392,4706,10,50,25,False,True,False,sum,1,1,globals
0.692252516746521,5336,20,50,25,False,True,False,max,1,1,globals
0.692252516746521,5336,20,50,25,False,True,False,mean,1,1,globals
0.692252516746521,5336,20,50,25,False,True,False,sum,1,1,globals
0.7261118888854979,5966,5,50,50,False,True,False,max,1,1,globals
0.7261118888854979,5966,5,50,50,False,True,False,mean,1,1,globals
0.7261118888854979,5966,5,50,50,False,True,False,sum,1,1,globals
0.714863657951355,6331,10,50,50,False,True,False,max,1,1,globals
0.714863657951355,6331,10,50,50,False,True,False,mean,1,1,globals
0.714863657951355,6331,10,50,50,False,True,False,sum,1,1,globals
0.7530559301376343,7211,20,50,50,False,True,False,max,1,1,globals
0.7530559301376343,7211,20,50,50,False,True,False,mean,1,1,globals
0.7530559301376343,7211,20,50,50,False,True,False,sum,1,1,globals
0.7303873300552368,8966,5,50,100,False,True,False,max,1,1,globals
0.7303873300552368,8966,5,50,100,False,True,False,mean,1,1,globals
0.7303873300552368,8966,5,50,100,False,True,False,sum,1,1,globals
0.7255380153656006,9581,10,50,100,False,True,False,max,1,1,globals
0.7255380153656006,9581,10,50,100,False,True,False,mean,1,1,globals
0.7255380153656006,9581,10,50,100,False,True,False,sum,1,1,globals
0.7427833080291748,10961,20,50,100,False,True,False,max,1,1,globals
0.7427833080291748,10961,20,50,100,False,True,False,mean,1,1,globals
0.7427833080291748,10961,20,50,100,False,True,False,sum,1,1,globals
0.6823530197143555,4966,5,50,25,True,True,False,max,1,2,edges & globals
0.6823530197143555,4966,5,50,25,True,True,False,mean,1,2,edges & globals
0.6823530197143555,4966,5,50,25,True,True,False,sum,1,2,edges & globals
0.7507604360580444,5706,10,50,25,True,True,False,max,1,2,edges & globals
0.7507604360580444,5706,10,50,25,True,True,False,mean,1,2,edges & globals
0.747747540473938,5706,10,50,25,True,True,False,sum,1,2,edges & globals
0.7417790293693542,7336,20,50,25,True,True,False,max,1,2,edges & globals
0.7417790293693542,7336,20,50,25,True,True,False,mean,1,2,edges & globals
0.7417790293693542,7336,20,50,25,True,True,False,sum,1,2,edges & globals
0.6606599688529968,6466,5,50,50,True,True,False,max,1,2,edges & globals
0.6606599688529968,6466,5,50,50,True,True,False,mean,1,2,edges & globals
0.6606599688529968,6466,5,50,50,True,True,False,sum,1,2,edges & globals
0.727259635925293,7331,10,50,50,True,True,False,max,1,2,edges & globals
0.727259635925293,7331,10,50,50,True,True,False,mean,1,2,edges & globals
0.727259635925293,7331,10,50,50,True,True,False,sum,1,2,edges & globals
0.7505021691322327,9211,20,50,50,True,True,False,max,1,2,edges & globals
0.7505021691322327,9211,20,50,50,True,True,False,mean,1,2,edges & globals
0.7505021691322327,9211,20,50,50,True,True,False,sum,1,2,edges & globals
0.7051362991333008,9466,5,50,100,True,True,False,max,1,2,edges & globals
0.7051362991333008,9466,5,50,100,True,True,False,mean,1,2,edges & globals
0.7051362991333008,9466,5,50,100,True,True,False,sum,1,2,edges & globals
0.7321377992630005,10581,10,50,100,True,True,False,max,1,2,edges & globals
0.7321377992630005,10581,10,50,100,True,True,False,mean,1,2,edges & globals
0.7321377992630005,10581,10,50,100,True,True,False,sum,1,2,edges & globals
0.7531707286834717,12961,20,50,100,True,True,False,max,1,2,edges & globals
0.7531707286834717,12961,20,50,100,True,True,False,mean,1,2,edges & globals
0.7531707286834717,12961,20,50,100,True,True,False,sum,1,2,edges & globals
0.673888087272644,5896,5,50,25,False,False,True,max,1,1,nodes
0.673888087272644,5896,5,50,25,False,False,True,mean,1,1,nodes
0.673888087272644,5896,5,50,25,False,False,True,sum,1,1,nodes
0.6761549711227417,6266,10,50,25,False,False,True,max,1,1,nodes
0.6761549711227417,6266,10,50,25,False,False,True,mean,1,1,nodes
0.6761549711227417,6266,10,50,25,False,False,True,sum,1,1,nodes
0.6865710020065308,7156,20,50,25,False,False,True,max,1,1,nodes
0.6865710020065308,7156,20,50,25,False,False,True,mean,1,1,nodes
0.6865710020065308,7156,20,50,25,False,False,True,sum,1,1,nodes
0.6756957769393921,6021,5,50,50,False,False,True,max,1,1,nodes
0.6756957769393921,6021,5,50,50,False,False,True,mean,1,1,nodes
0.6756957769393921,6021,5,50,50,False,False,True,sum,1,1,nodes
0.6767288446426392,6391,10,50,50,False,False,True,max,1,1,nodes
0.6767288446426392,6391,10,50,50,False,False,True,mean,1,1,nodes
0.6767288446426392,6391,10,50,50,False,False,True,sum,1,1,nodes
0.6789669990539551,7281,20,50,50,False,False,True,max,1,1,nodes
0.6789669990539551,7281,20,50,50,False,False,True,mean,1,1,nodes
0.6789669990539551,7281,20,50,50,False,False,True,sum,1,1,nodes
0.673687219619751,6271,5,50,100,False,False,True,max,1,1,nodes
0.673687219619751,6271,5,50,100,False,False,True,mean,1,1,nodes
0.673687219619751,6271,5,50,100,False,False,True,sum,1,1,nodes
0.6895551681518555,6641,10,50,100,False,False,True,max,1,1,nodes
0.6895551681518555,6641,10,50,100,False,False,True,mean,1,1,nodes
0.6895551681518555,6641,10,50,100,False,False,True,sum,1,1,nodes
0.6815495491027832,7531,20,50,100,False,False,True,max,1,1,nodes
0.6815495491027832,7531,20,50,100,False,False,True,mean,1,1,nodes
0.6815495491027832,7531,20,50,100,False,False,True,sum,1,1,nodes
0.6757819652557373,6396,5,50,25,True,False,True,max,1,2,nodes & edges
0.6757819652557373,6396,5,50,25,True,False,True,mean,1,2,nodes & edges
0.6757819652557373,6396,5,50,25,True,False,True,sum,1,2,nodes & edges
0.6621520519256592,7266,10,50,25,True,False,True,max,1,2,nodes & edges
0.6621520519256592,7266,10,50,25,True,False,True,mean,1,2,nodes & edges
0.6621520519256592,7266,10,50,25,True,False,True,sum,1,2,nodes & edges
0.678536593914032,9156,20,50,25,True,False,True,max,1,2,nodes & edges
0.678536593914032,9156,20,50,25,True,False,True,mean,1,2,nodes & edges
0.678536593914032,9156,20,50,25,True,False,True,sum,1,2,nodes & edges
0.652682900428772,6521,5,50,50,True,False,True,max,1,2,nodes & edges
0.652682900428772,6521,5,50,50,True,False,True,mean,1,2,nodes & edges
0.652682900428772,6521,5,50,50,True,False,True,sum,1,2,nodes & edges
0.6810042858123779,7391,10,50,50,True,False,True,max,1,2,nodes & edges
0.6810042858123779,7391,10,50,50,True,False,True,mean,1,2,nodes & edges
0.6810042858123779,7391,10,50,50,True,False,True,sum,1,2,nodes & edges
0.6834433078765869,9281,20,50,50,True,False,True,max,1,2,nodes & edges
0.6834433078765869,9281,20,50,50,True,False,True,mean,1,2,nodes & edges
0.6834433078765869,9281,20,50,50,True,False,True,sum,1,2,nodes & edges
0.6019225120544434,6771,5,50,100,True,False,True,max,1,2,nodes & edges
0.6019225120544434,6771,5,50,100,True,False,True,mean,1,2,nodes & edges
0.6019225120544434,6771,5,50,100,True,False,True,sum,1,2,nodes & edges
